compound,N_tokens_BERT,N_tokens_Llama
farmhouse,1,2
farmland,1,3
farmyard,2,3
faultline,2,2
ferryboat,2,4
fieldwork,2,2
filmstrip,2,2
fingerboard,2,2
fingernail,2,4
fingerprint,2,2
fingertip,2,4
firearm,1,2
fireball,2,2
firebox,2,2
firecracker,3,3
firefly,2,2
firelight,2,2
fireman,2,2
fireplace,1,2
firepower,2,2
fireside,2,2
firestorm,2,3
firewater,2,2
firewood,2,2
fishbone,2,2
fisherman,1,2
fishmeal,3,3
fishmonger,3,4
fishpond,3,2
flagpole,2,2
flagship,1,2
flagstaff,2,3
flagstone,2,2
flashlight,1,2
fleapit,2,3
floodgate,2,3
floodwater,2,3
floorboard,2,2
floorplan,3,2
flourmill,2,3
flowchart,3,2
flowerbed,2,2
flycatcher,3,3
flypaper,2,2
flyweight,2,2
flywheel,2,3
foghorn,2,2
folklore,1,3
folksong,2,3
football,1,1
footbridge,2,2
footfall,2,2
foothold,2,3
footnote,2,2
footpath,2,2
footplate,2,2
footprint,1,2
footstep,3,2
footstool,3,3
footwear,2,3
footwork,2,2
forestland,2,2
forklift,2,3
fountainhead,2,4
foxhole,2,3
foxhound,3,4
framework,1,1
freeway,1,3
frostbite,3,4
fruitcake,2,3
fuelwood,2,2
gallbladder,3,4
gangway,2,2
gatehouse,2,2
gatepost,2,2
gateway,1,1
gearbox,1,3
gearshift,3,3
girlfriend,1,2
glassware,2,2
goalpost,2,2
goatherd,3,3
goatskin,2,4
godmother,3,3
godsend,2,2
goldfish,2,2
goldmine,2,2
goodwill,1,2
grapefruit,3,4
grapeshot,2,4
grapevine,2,4
grasshopper,2,3
graveyard,1,3
greenhouse,1,2
greyhound,1,3
groundhog,2,3
groundnut,2,2
groundsheet,3,2
groundwork,2,2
guardhouse,2,2
guardrail,2,3
guardroom,2,2
guesthouse,2,2
guestroom,2,2
guidebook,2,2
gumshoe,3,4
gunboat,2,3
gunfire,1,2
gunman,2,2
gunpoint,2,2
gunpowder,1,3
gunshot,1,2
hailstorm,2,3
hairbrush,2,3
haircut,2,3
hairdresser,3,4
hairline,2,2
hairpiece,2,3
hairpin,2,2
hairstyle,2,3
hairstylist,3,4
hallway,1,2
hamstring,3,2
handbag,2,2
handball,1,2
handbook,1,2
handbrake,3,3
handcart,3,2
handclap,3,3
handgun,1,2
handhold,2,2
handlebar,2,2
handmaiden,3,3
handprint,2,2
handrail,2,3
handshake,3,3
handstand,3,2
handwork,2,2
hangman,2,2
hatpin,2,2
hawthorn,1,4
haystack,3,2
haywire,2,2
headache,1,2
headband,2,2
headboard,2,2
headcount,3,2
headlamp,3,3
headlight,2,2
headline,1,2
headman,2,2
headmaster,1,2
headpiece,2,3
headrest,2,2
headroom,2,2
headset,2,2
headstand,3,2
headstone,2,2
heartache,2,2
heartbeat,1,3
heartbreak,1,2
heartburn,2,2
hearthrug,2,3
heartthrob,4,3
heatstroke,3,2
hedgehog,2,4
heirloom,3,4
hellfire,2,2
helpdesk,3,3
hemline,2,2
hideaway,2,2
hillside,1,2
hindsight,2,3
hobgoblin,5,5
hogwash,2,4
homefront,2,2
homeland,1,2
homestead,1,3
hometown,1,3
homework,1,2
honeybee,2,4
honeycomb,2,3
honeydew,3,4
honeymoon,1,4
hookworm,2,3
hornbeam,2,3
hornbill,2,3
horseback,1,2
horseflesh,3,3
horsehair,2,3
horsemeat,3,3
horseplay,2,2
horsepower,1,2
horserace,2,3
horseshit,2,3
horseshoe,1,3
horsewhip,3,3
hosepipe,2,3
hourglass,2,2
houseboat,2,3
housecoat,2,3
household,1,1
houseman,2,2
houseplant,3,2
housewife,2,3
housework,2,2
hovercraft,4,2
humankind,2,3
hunchback,3,3
iceberg,2,2
icecap,2,2
icefall,2,2
iceman,2,2
icepack,2,2
infantryman,2,3
inkwell,2,3
innkeeper,2,2
jackass,2,2
jailbird,2,3
jailbreak,2,3
jellyfish,2,3
joyride,2,2
keyhole,2,2
keynote,1,3
kingpin,2,2
kneecap,2,3
ladybug,3,2
lamplight,2,4
lamppost,2,4
lampshade,3,4
landfall,1,2
landlord,1,3
landmark,1,2
landmine,2,2
landslide,1,2
lawman,2,2
lawsuit,1,2
leeway,2,3
letterbox,2,2
letterpress,2,2
lifeblood,2,4
lifeboat,1,4
lifebuoy,3,4
lifeguard,2,3
liferaft,3,3
lifetime,1,1
lightbulb,3,3
lighthouse,1,3
limelight,2,3
limestone,1,2
lipstick,1,3
livestock,1,3
locksmith,2,3
logbook,2,2
logjam,3,3
loincloth,3,4
loophole,2,2
lumberjack,2,3
lunchroom,2,3
lunchtime,2,3
madhouse,2,2
maidservant,3,4
mailbag,2,2
mailboat,2,3
mailbox,2,2
mailman,2,2
mandrake,3,3
manhood,2,2
mankind,1,2
manpower,1,2
manservant,3,4
manslaughter,4,5
marketplace,1,2
marshmallow,3,4
masterpiece,1,3
matchbox,2,2
matchwood,2,2
maypole,2,2
mealtime,2,3
meatball,2,2
meetinghouse,2,2
messageboard,2,2
metalworker,3,2
middleman,2,2
milepost,2,2
milestone,1,2
milkman,2,2
milkshake,3,3
millpond,3,2
mincemeat,4,4
minefield,2,2
mineshaft,3,3
molehill,2,2
moneylender,3,4
moneymaker,2,4
moonbeam,2,3
moonlight,1,2
moonshine,2,4
moorland,2,3
mothball,2,2
motherland,2,2
motorbike,3,3
motorcar,2,2
motorcycle,1,2
motorway,1,2
mountaintop,2,3
mousetrap,3,4
mouthpiece,2,3
mouthwash,2,3
muskrat,3,3
necklace,1,2
neckline,2,2
necktie,2,3
neckwear,2,3
needlepoint,2,3
network,1,1
newsboy,2,2
newscaster,2,3
newsflash,3,2
newsletter,1,2
newsman,2,2
newspaper,1,1
newsreel,3,3
newsroom,2,2
newssheet,3,3
newsstand,2,2
nightcap,2,2
nightclothes,3,4
nightclub,1,2
nightfall,1,2
nightgown,3,3
nightlife,2,2
nightmare,1,3
nightshade,3,3
nighttime,1,2
noonday,2,3
notebook,1,2
notepaper,2,3
nursemaid,2,4
nutcase,2,2
nuthouse,2,3
nutshell,2,2
oatmeal,4,4
oilcloth,2,3
oilfield,2,2
packhorse,2,3
painkiller,3,3
paintbrush,2,3
pancake,2,3
panhandle,3,2
pantile,2,3
paperback,1,2
paperboy,2,2
paperclip,3,2
parkway,1,2
passageway,1,2
passbook,2,2
passionfruit,3,3
passport,1,2
password,1,1
patchwork,2,2
pathway,1,2
patrolman,2,3
pawnshop,3,3
paycheck,3,2
payroll,1,2
peacetime,2,3
peacock,1,3
peafowl,3,4
peahen,2,3
peanut,1,3
peephole,3,4
penknife,4,3
peppercorn,3,4
peppermint,3,4
phrasebook,2,2
pigeonhole,2,4
piggyback,3,4
pigsty,2,3
pinball,2,2
pineapple,2,3
pinhead,2,2
pinpoint,2,2
pinprick,3,3
pinstripe,3,4
pipeline,1,1
pipsqueak,3,4
pitfall,2,2
plasterboard,2,3
playbill,2,3
playground,1,2
playhouse,1,2
playmate,2,2
playroom,2,2
playtime,2,2
playwright,1,3
ploughman,3,3
plughole,2,2
plywood,2,2
pocketbook,2,2
pocketknife,4,3
polecat,2,2
policeman,1,2
policewoman,2,3
ponytail,1,3
popcorn,1,3
porthole,2,3
postcard,2,2
postman,2,2
postmark,2,2
postmaster,1,2
powerboat,2,3
powerhouse,1,2
pressman,2,2
prizefighter,2,4
proofreader,3,2
quartermaster,1,2
quicksand,3,3
quizmaster,2,3
racetrack,1,3
ragtag,2,2
railroad,1,2
railway,1,1
rainbow,1,2
raincoat,2,3
raindrop,2,3
rainfall,1,3
rainstorm,2,3
rattlesnake,4,4
reindeer,1,3
restroom,1,2
ringmaster,2,2
ringside,2,2
ringtone,2,3
ringworm,2,3
riverbed,2,2
riverboat,2,3
roadbed,2,2
roadblock,2,2
roadhouse,2,2
roadman,2,2
roadside,1,2
roadway,1,2
rooftop,1,4
roommate,1,3
ropewalk,2,3
rosebud,3,2
rosebush,2,3
rosewood,1,2
rulebook,2,2
runway,1,2
saddlebag,2,4
safeguard,1,3
sailboat,2,3
sailcloth,2,3
saltwater,2,2
sandalwood,3,3
sandbank,2,2
sandblast,3,2
sandbox,2,2
sandman,2,2
sandpaper,2,2
sandstone,1,2
sandstorm,2,3
sapwood,2,2
saucepan,2,3
sawdust,2,3
sawmill,1,2
schoolboy,2,2
schoolfellow,3,3
schoolfriend,4,2
schoolgirl,2,3
schoolhouse,1,2
schoolmate,2,2
schoolroom,2,2
schoolwork,2,2
schoolyard,2,2
scoreboard,2,2
scorecard,2,2
scoutmaster,2,3
scrapbook,2,3
scrapheap,3,4
screenplay,1,2
seabed,2,3
seaboard,2,4
seacoast,3,3
seafood,1,3
seafront,2,2
seagull,3,3
sealskin,2,4
seaman,1,2
seaplane,2,3
searchlight,2,2
seashore,2,3
seasick,2,3
seaside,1,3
seawater,2,3
seaweed,2,3
seedbed,2,2
shareholder,1,2
sheepdog,2,2
sheepskin,2,3
shellfish,2,2
shinbone,2,3
shipload,2,2
shipmate,2,2
shipwreck,3,3
shipwright,2,3
shipyard,1,2
shoehorn,2,3
shoelace,2,3
shoemaker,2,3
shoeshine,2,3
shoestring,3,3
shopkeeper,2,2
shoreline,1,3
shortcake,2,3
shortcut,2,1
shotgun,1,2
showcase,1,2
showgirl,2,3
showpiece,2,3
showroom,2,2
sickbay,2,2
sideboard,2,2
sidecar,2,2
sidekick,1,3
sideline,2,2
sideshow,2,2
sideslip,2,2
sidewalk,1,2
sightseer,2,3
signalman,2,2
signpost,2,2
silkworm,2,3
silverware,2,2
sinkhole,2,2
skatepark,2,3
skinhead,2,2
skyhook,3,2
skylark,2,3
skylight,2,3
skyline,1,2
skyrocket,3,3
skyscraper,1,4
slaughterhouse,2,4
sledgehammer,3,4
slingshot,2,3
slipknot,3,4
slipstream,2,3
slipway,2,3
smallpox,1,3
smokehouse,2,2
smokescreen,2,3
smokestack,3,4
snakebite,3,4
snapshot,2,1
snowball,2,2
snowfall,1,2
snowfield,2,2
snowflake,3,4
snowglobe,3,4
snowman,2,2
snowshoe,3,3
snowstorm,2,3
soapbox,2,2
softball,1,2
songbird,2,2
songbook,2,2
songlist,2,2
soundcard,2,2
soundtrack,1,2
sourdough,3,3
southpaw,3,3
soybean,3,3
spacecraft,1,2
spaceship,1,2
spacesuit,2,2
spadework,2,3
spearhead,2,3
spearmint,3,3
speedboat,2,3
speedway,1,2
speedwell,2,2
sportbike,3,3
spotlight,1,2
springtime,2,2
spyglass,2,3
stagecoach,1,3
stagehand,2,2
staircase,1,3
stairway,1,3
stalemate,2,3
standpoint,2,2
stardust,2,3
starfish,2,2
starlight,2,2
stateroom,2,3
stateside,2,2
stationmaster,2,2
steamboat,1,3
steamroller,2,2
steamship,1,2
steelyard,2,3
stingray,2,3
stockbroker,3,3
stockholder,2,2
stockpile,2,3
stockroom,2,2
stockyard,2,2
stomachache,2,4
stonewall,2,2
stoneware,2,2
stoplight,2,2
stopwatch,2,2
storehouse,2,2
storybook,2,2
storyline,1,2
stranglehold,3,3
strawberry,1,3
streamline,2,2
streetcar,1,2
streetlight,2,2
suitcase,1,2
sunbeam,2,3
sunbonnet,3,3
sunburn,2,2
sunburst,3,3
sundial,2,3
sunfish,2,2
sunflower,2,3
sunlamp,3,3
sunlight,1,2
sunray,2,2
sunroof,3,3
sunset,1,2
sunshine,1,3
sunspot,2,2
sunstroke,3,3
suntan,2,2
surfboard,2,3
sweatband,2,3
sweatshirt,1,4
sweetheart,1,2
sweetmeat,3,3
swimsuit,2,3
switchboard,2,2
swordfight,2,3
swordfish,2,2
swordplay,2,2
tablecloth,2,3
tablespoon,3,3
tailback,2,2
tailboard,2,2
tailcoat,2,3
taillight,2,3
tailspin,2,3
tailwind,2,2
tapeworm,2,4
taproom,2,2
taskmaster,2,2
taxicab,3,3
teacup,2,3
teammate,1,2
teamwork,2,2
teapot,2,3
teardrop,2,3
teaspoon,3,4
teatime,2,2
textbook,1,2
thumbprint,2,2
thunderbolt,2,4
thunderclap,3,4
thundercloud,3,3
thunderstorm,2,4
tidewater,2,3
tideway,2,3
timekeeper,2,2
timetable,1,3
tinderbox,3,3
tinfoil,2,3
tinsmith,2,4
toehold,2,2
toenail,2,2
tollbooth,3,4
tollgate,2,3
tombstone,1,2
toothbrush,2,4
toothpaste,3,3
toothpick,3,3
topcoat,2,3
topsail,2,3
topsoil,3,4
torchlight,2,3
tortoiseshell,4,4
touchstone,2,2
tracksuit,2,2
trademark,1,3
tradeshow,2,3
trainload,2,2
tramline,2,2
trapdoor,2,2
treadmill,2,3
treehouse,2,2
trenchcoat,2,4
troopship,2,3
turnpike,1,3
typeface,2,2
username,2,1
videocamera,3,4
videotape,3,3
viewfinder,2,3
vineyard,1,3
volleyball,1,3
waistband,1,3
waistline,2,3
wallflower,2,3
wallpaper,2,2
wardrobe,1,4
wardroom,2,3
warehouse,1,3
warfare,1,2
warhead,2,2
warlock,1,2
warlord,1,3
warmonger,3,3
warship,1,2
warthog,3,3
wartime,1,3
washbasin,3,4
washcloth,2,4
washstand,2,3
wasteland,2,3
wastepaper,2,2
wastewater,1,2
watchdog,2,2
watchtower,2,3
waterbird,2,2
watercourse,3,2
waterfall,1,2
waterfowl,3,4
waterfront,1,2
waterhole,2,2
waterline,2,2
watermelon,3,4
waterproof,2,2
waterside,2,2
waterspout,3,3
waxwork,2,3
weatherman,2,3
weathervane,3,3
weekday,1,2
weekend,1,2
weeknight,2,2
whalebone,2,3
wheelbarrow,3,3
wheelbase,1,2
wheelchair,1,3
whiplash,2,4
whirlpool,4,3
whirlwind,4,3
whitehead,1,2
wildcat,2,2
wildfire,2,2
wildlife,1,2
willpower,2,2
windbag,2,2
windfall,2,2
windmill,1,2
windowpane,3,3
windowsill,2,2
windpipe,2,2
windscreen,2,2
windshield,1,3
windsock,2,2
windstorm,2,3
wineskin,2,3
wingman,2,2
wingspan,1,2
wintertime,2,2
wiretap,3,3
witchcraft,1,3
wolfhound,3,4
wonderland,1,2
woodbine,2,2
woodcarver,3,3
woodland,1,2
woodpile,2,3
woodshed,2,3
woodwind,2,2
woodwork,2,2
wordplay,2,2
workbench,3,3
workbook,2,2
workhorse,2,3
workhouse,2,2
worksheet,3,2
workshop,1,2
wormhole,2,3
wristband,2,3
wristwatch,2,3
yardstick,2,3
yearbook,1,2
