compound,modifier,head,interpretation,type
airforce,air,force,force whose location is air,H whose location is M
airforce,air,force,force located on air,H located on M
airforce,air,force,air location is force,M location is H
airforce,air,force,air whose location is force,M whose location is H
airforce,air,force,air located on force,M located on H
airforce,air,force,force made of air,H made of M
airforce,air,force,force makes air,H makes M
airforce,air,force,force making air,H making M
airforce,air,force,force that makes air,H that makes M
airforce,air,force,force used by air,H used by M
airforce,air,force,force uses air,H uses M
airforce,air,force,force using air,H using M
airforce,air,force,force that uses air,H that uses M
airforce,air,force,force located in air,H located in M
airforce,air,force,force located at air,H located at M
airforce,air,force,air located in force,M located in H
airforce,air,force,air located at force,M located at H
airlift,air,lift,airlift,same
airlift,air,lift,lift about air,H about M
airlift,air,lift,lift by air,H by M
airlift,air,lift,lift caused by air,H caused by M
airlift,air,lift,lift causes air,H causes M
airlift,air,lift,lift causing air,H causing M
airlift,air,lift,lift that causes air,H that causes M
airlift,air,lift,lift during air,H during M
airlift,air,lift,lift for air,H for M
airlift,air,lift,lift from air,H from M
airlift,air,lift,lift has air,H has M
airlift,air,lift,lift having air,H having M
airlift,air,lift,lift that has air,H that has M
airlift,air,lift,air has lift,M has H
airlift,air,lift,air having lift,M having H
airlift,air,lift,air that has lift,M that has H
airlift,air,lift,lift is air,H is M
airlift,air,lift,lift being air,H being M
airlift,air,lift,lift that is air,H that is M
airlift,air,lift,lift location is air,H location is M
airlift,air,lift,lift whose location is air,H whose location is M
airlift,air,lift,lift located on air,H located on M
airlift,air,lift,air location is lift,M location is H
airlift,air,lift,air whose location is lift,M whose location is H
airlift,air,lift,air located on lift,M located on H
airlift,air,lift,lift made of air,H made of M
airlift,air,lift,lift makes air,H makes M
airlift,air,lift,lift making air,H making M
airlift,air,lift,lift that makes air,H that makes M
airlift,air,lift,lift used by air,H used by M
airlift,air,lift,lift uses air,H uses M
airlift,air,lift,lift using air,H using M
airlift,air,lift,lift that uses air,H that uses M
airlift,air,lift,lift located in air,H located in M
airlift,air,lift,lift located at air,H located at M
airlift,air,lift,air located in lift,M located in H
airlift,air,lift,air located at lift,M located at H
airline,air,line,airline,same
airline,air,line,line about air,H about M
airline,air,line,line by air,H by M
airline,air,line,line caused by air,H caused by M
airline,air,line,line causes air,H causes M
airline,air,line,line causing air,H causing M
airline,air,line,line that causes air,H that causes M
airline,air,line,line during air,H during M
airline,air,line,line for air,H for M
airline,air,line,line from air,H from M
airline,air,line,line has air,H has M
airline,air,line,line having air,H having M
airline,air,line,line that has air,H that has M
airline,air,line,air has line,M has H
airline,air,line,air having line,M having H
airline,air,line,air that has line,M that has H
airline,air,line,line is air,H is M
airline,air,line,line being air,H being M
airline,air,line,line that is air,H that is M
airline,air,line,line location is air,H location is M
airline,air,line,line whose location is air,H whose location is M
airline,air,line,line located on air,H located on M
airline,air,line,air location is line,M location is H
airline,air,line,air whose location is line,M whose location is H
airline,air,line,air located on line,M located on H
airline,air,line,line made of air,H made of M
airline,air,line,line makes air,H makes M
airline,air,line,line making air,H making M
airline,air,line,line that makes air,H that makes M
airline,air,line,line used by air,H used by M
airline,air,line,line uses air,H uses M
airline,air,line,line using air,H using M
airline,air,line,line that uses air,H that uses M
airline,air,line,line located in air,H located in M
airline,air,line,line located at air,H located at M
airline,air,line,air located in line,M located in H
airline,air,line,air located at line,M located at H
airlock,air,lock,airlock,same
airlock,air,lock,lock about air,H about M
airlock,air,lock,lock by air,H by M
airlock,air,lock,lock caused by air,H caused by M
airlock,air,lock,lock causes air,H causes M
airlock,air,lock,lock causing air,H causing M
airlock,air,lock,lock that causes air,H that causes M
airlock,air,lock,lock during air,H during M
airlock,air,lock,lock for air,H for M
airlock,air,lock,lock from air,H from M
airlock,air,lock,lock has air,H has M
airlock,air,lock,lock having air,H having M
airlock,air,lock,lock that has air,H that has M
airlock,air,lock,air has lock,M has H
airlock,air,lock,air having lock,M having H
airlock,air,lock,air that has lock,M that has H
airlock,air,lock,lock is air,H is M
airlock,air,lock,lock being air,H being M
airlock,air,lock,lock that is air,H that is M
airlock,air,lock,lock location is air,H location is M
airlock,air,lock,lock whose location is air,H whose location is M
airlock,air,lock,lock located on air,H located on M
airlock,air,lock,air location is lock,M location is H
airlock,air,lock,air whose location is lock,M whose location is H
airlock,air,lock,air located on lock,M located on H
airlock,air,lock,lock made of air,H made of M
airlock,air,lock,lock makes air,H makes M
airlock,air,lock,lock making air,H making M
airlock,air,lock,lock that makes air,H that makes M
airlock,air,lock,lock used by air,H used by M
airlock,air,lock,lock uses air,H uses M
airlock,air,lock,lock using air,H using M
airlock,air,lock,lock that uses air,H that uses M
airlock,air,lock,lock located in air,H located in M
airlock,air,lock,lock located at air,H located at M
airlock,air,lock,air located in lock,M located in H
airlock,air,lock,air located at lock,M located at H
airman,air,man,airman,same
airman,air,man,man about air,H about M
airman,air,man,man by air,H by M
airman,air,man,man caused by air,H caused by M
airman,air,man,man causes air,H causes M
airman,air,man,man causing air,H causing M
airman,air,man,man that causes air,H that causes M
airman,air,man,man during air,H during M
airman,air,man,man for air,H for M
airman,air,man,man from air,H from M
airman,air,man,man has air,H has M
airman,air,man,man having air,H having M
airman,air,man,man that has air,H that has M
airman,air,man,air has man,M has H
airman,air,man,air having man,M having H
airman,air,man,air that has man,M that has H
airman,air,man,man is air,H is M
airman,air,man,man being air,H being M
airman,air,man,man that is air,H that is M
airman,air,man,man location is air,H location is M
airman,air,man,man whose location is air,H whose location is M
airman,air,man,man located on air,H located on M
airman,air,man,air location is man,M location is H
airman,air,man,air whose location is man,M whose location is H
airman,air,man,air located on man,M located on H
airman,air,man,man made of air,H made of M
airman,air,man,man makes air,H makes M
airman,air,man,man making air,H making M
airman,air,man,man that makes air,H that makes M
airman,air,man,man used by air,H used by M
airman,air,man,man uses air,H uses M
airman,air,man,man using air,H using M
airman,air,man,man that uses air,H that uses M
airman,air,man,man located in air,H located in M
airman,air,man,man located at air,H located at M
airman,air,man,air located in man,M located in H
airman,air,man,air located at man,M located at H
airplane,air,plane,airplane,same
airplane,air,plane,plane about air,H about M
airplane,air,plane,plane by air,H by M
airplane,air,plane,plane caused by air,H caused by M
airplane,air,plane,plane causes air,H causes M
airplane,air,plane,plane causing air,H causing M
airplane,air,plane,plane that causes air,H that causes M
airplane,air,plane,plane during air,H during M
airplane,air,plane,plane for air,H for M
airplane,air,plane,plane from air,H from M
airplane,air,plane,plane has air,H has M
airplane,air,plane,plane having air,H having M
airplane,air,plane,plane that has air,H that has M
airplane,air,plane,air has plane,M has H
airplane,air,plane,air having plane,M having H
airplane,air,plane,air that has plane,M that has H
airplane,air,plane,plane is air,H is M
airplane,air,plane,plane being air,H being M
airplane,air,plane,plane that is air,H that is M
airplane,air,plane,plane location is air,H location is M
airplane,air,plane,plane whose location is air,H whose location is M
airplane,air,plane,plane located on air,H located on M
airplane,air,plane,air location is plane,M location is H
airplane,air,plane,air whose location is plane,M whose location is H
airplane,air,plane,air located on plane,M located on H
airplane,air,plane,plane made of air,H made of M
airplane,air,plane,plane makes air,H makes M
airplane,air,plane,plane making air,H making M
airplane,air,plane,plane that makes air,H that makes M
airplane,air,plane,plane used by air,H used by M
airplane,air,plane,plane uses air,H uses M
airplane,air,plane,plane using air,H using M
airplane,air,plane,plane that uses air,H that uses M
airplane,air,plane,plane located in air,H located in M
airplane,air,plane,plane located at air,H located at M
airplane,air,plane,air located in plane,M located in H
airplane,air,plane,air located at plane,M located at H
airport,air,port,airport,same
airport,air,port,port about air,H about M
airport,air,port,port by air,H by M
airport,air,port,port caused by air,H caused by M
airport,air,port,port causes air,H causes M
airport,air,port,port causing air,H causing M
airport,air,port,port that causes air,H that causes M
airport,air,port,port during air,H during M
airport,air,port,port for air,H for M
airport,air,port,port from air,H from M
airport,air,port,port has air,H has M
airport,air,port,port having air,H having M
airport,air,port,port that has air,H that has M
airport,air,port,air has port,M has H
airport,air,port,air having port,M having H
airport,air,port,air that has port,M that has H
airport,air,port,port is air,H is M
airport,air,port,port being air,H being M
airport,air,port,port that is air,H that is M
airport,air,port,port location is air,H location is M
airport,air,port,port whose location is air,H whose location is M
airport,air,port,port located on air,H located on M
airport,air,port,air location is port,M location is H
airport,air,port,air whose location is port,M whose location is H
airport,air,port,air located on port,M located on H
airport,air,port,port made of air,H made of M
airport,air,port,port makes air,H makes M
airport,air,port,port making air,H making M
airport,air,port,port that makes air,H that makes M
airport,air,port,port used by air,H used by M
airport,air,port,port uses air,H uses M
airport,air,port,port using air,H using M
airport,air,port,port that uses air,H that uses M
airport,air,port,port located in air,H located in M
airport,air,port,port located at air,H located at M
airport,air,port,air located in port,M located in H
airport,air,port,air located at port,M located at H
airship,air,ship,airship,same
airship,air,ship,ship about air,H about M
airship,air,ship,ship by air,H by M
airship,air,ship,ship caused by air,H caused by M
airship,air,ship,ship causes air,H causes M
airship,air,ship,ship causing air,H causing M
airship,air,ship,ship that causes air,H that causes M
airship,air,ship,ship during air,H during M
airship,air,ship,ship for air,H for M
airship,air,ship,ship from air,H from M
airship,air,ship,ship has air,H has M
airship,air,ship,ship having air,H having M
airship,air,ship,ship that has air,H that has M
airship,air,ship,air has ship,M has H
airship,air,ship,air having ship,M having H
airship,air,ship,air that has ship,M that has H
airship,air,ship,ship is air,H is M
airship,air,ship,ship being air,H being M
airship,air,ship,ship that is air,H that is M
airship,air,ship,ship location is air,H location is M
airship,air,ship,ship whose location is air,H whose location is M
airship,air,ship,ship located on air,H located on M
airship,air,ship,air location is ship,M location is H
airship,air,ship,air whose location is ship,M whose location is H
airship,air,ship,air located on ship,M located on H
airship,air,ship,ship made of air,H made of M
airship,air,ship,ship makes air,H makes M
airship,air,ship,ship making air,H making M
airship,air,ship,ship that makes air,H that makes M
airship,air,ship,ship used by air,H used by M
airship,air,ship,ship uses air,H uses M
airship,air,ship,ship using air,H using M
airship,air,ship,ship that uses air,H that uses M
airship,air,ship,ship located in air,H located in M
airship,air,ship,ship located at air,H located at M
airship,air,ship,air located in ship,M located in H
airship,air,ship,air located at ship,M located at H
airspace,air,space,airspace,same
airspace,air,space,space about air,H about M
airspace,air,space,space by air,H by M
airspace,air,space,space caused by air,H caused by M
airspace,air,space,space causes air,H causes M
airspace,air,space,space causing air,H causing M
airspace,air,space,space that causes air,H that causes M
airspace,air,space,space during air,H during M
airspace,air,space,space for air,H for M
airspace,air,space,space from air,H from M
airspace,air,space,space has air,H has M
airspace,air,space,space having air,H having M
airspace,air,space,space that has air,H that has M
airspace,air,space,air has space,M has H
airspace,air,space,air having space,M having H
airspace,air,space,air that has space,M that has H
airspace,air,space,space is air,H is M
airspace,air,space,space being air,H being M
airspace,air,space,space that is air,H that is M
airspace,air,space,space location is air,H location is M
airspace,air,space,space whose location is air,H whose location is M
airspace,air,space,space located on air,H located on M
airspace,air,space,air location is space,M location is H
airspace,air,space,air whose location is space,M whose location is H
airspace,air,space,air located on space,M located on H
airspace,air,space,space made of air,H made of M
airspace,air,space,space makes air,H makes M
airspace,air,space,space making air,H making M
airspace,air,space,space that makes air,H that makes M
airspace,air,space,space used by air,H used by M
airspace,air,space,space uses air,H uses M
airspace,air,space,space using air,H using M
airspace,air,space,space that uses air,H that uses M
airspace,air,space,space located in air,H located in M
airspace,air,space,space located at air,H located at M
airspace,air,space,air located in space,M located in H
airspace,air,space,air located at space,M located at H
airway,air,way,airway,same
airway,air,way,way about air,H about M
airway,air,way,way by air,H by M
airway,air,way,way caused by air,H caused by M
airway,air,way,way causes air,H causes M
airway,air,way,way causing air,H causing M
airway,air,way,way that causes air,H that causes M
airway,air,way,way during air,H during M
airway,air,way,way for air,H for M
airway,air,way,way from air,H from M
airway,air,way,way has air,H has M
airway,air,way,way having air,H having M
airway,air,way,way that has air,H that has M
airway,air,way,air has way,M has H
airway,air,way,air having way,M having H
airway,air,way,air that has way,M that has H
airway,air,way,way is air,H is M
airway,air,way,way being air,H being M
airway,air,way,way that is air,H that is M
airway,air,way,way location is air,H location is M
airway,air,way,way whose location is air,H whose location is M
airway,air,way,way located on air,H located on M
airway,air,way,air location is way,M location is H
airway,air,way,air whose location is way,M whose location is H
airway,air,way,air located on way,M located on H
airway,air,way,way made of air,H made of M
airway,air,way,way makes air,H makes M
airway,air,way,way making air,H making M
airway,air,way,way that makes air,H that makes M
airway,air,way,way used by air,H used by M
airway,air,way,way uses air,H uses M
airway,air,way,way using air,H using M
airway,air,way,way that uses air,H that uses M
airway,air,way,way located in air,H located in M
airway,air,way,way located at air,H located at M
airway,air,way,air located in way,M located in H
airway,air,way,air located at way,M located at H
alehouse,ale,house,alehouse,same
alehouse,ale,house,house about ale,H about M
alehouse,ale,house,house by ale,H by M
alehouse,ale,house,house caused by ale,H caused by M
alehouse,ale,house,house causes ale,H causes M
alehouse,ale,house,house causing ale,H causing M
alehouse,ale,house,house that causes ale,H that causes M
alehouse,ale,house,house during ale,H during M
alehouse,ale,house,house for ale,H for M
alehouse,ale,house,house from ale,H from M
alehouse,ale,house,house has ale,H has M
alehouse,ale,house,house having ale,H having M
alehouse,ale,house,house that has ale,H that has M
alehouse,ale,house,ale has house,M has H
alehouse,ale,house,ale having house,M having H
alehouse,ale,house,ale that has house,M that has H
alehouse,ale,house,house is ale,H is M
alehouse,ale,house,house being ale,H being M
alehouse,ale,house,house that is ale,H that is M
alehouse,ale,house,house location is ale,H location is M
alehouse,ale,house,house whose location is ale,H whose location is M
alehouse,ale,house,house located on ale,H located on M
alehouse,ale,house,ale location is house,M location is H
alehouse,ale,house,ale whose location is house,M whose location is H
alehouse,ale,house,ale located on house,M located on H
alehouse,ale,house,house made of ale,H made of M
alehouse,ale,house,house makes ale,H makes M
alehouse,ale,house,house making ale,H making M
alehouse,ale,house,house that makes ale,H that makes M
alehouse,ale,house,house used by ale,H used by M
alehouse,ale,house,house uses ale,H uses M
alehouse,ale,house,house using ale,H using M
alehouse,ale,house,house that uses ale,H that uses M
alehouse,ale,house,house located in ale,H located in M
alehouse,ale,house,house located at ale,H located at M
alehouse,ale,house,ale located in house,M located in H
alehouse,ale,house,ale located at house,M located at H
applesauce,apple,sauce,applesauce,same
applesauce,apple,sauce,sauce about apple,H about M
applesauce,apple,sauce,sauce by apple,H by M
applesauce,apple,sauce,sauce caused by apple,H caused by M
applesauce,apple,sauce,sauce causes apple,H causes M
applesauce,apple,sauce,sauce causing apple,H causing M
applesauce,apple,sauce,sauce that causes apple,H that causes M
applesauce,apple,sauce,sauce during apple,H during M
applesauce,apple,sauce,sauce for apple,H for M
applesauce,apple,sauce,sauce from apple,H from M
applesauce,apple,sauce,sauce has apple,H has M
applesauce,apple,sauce,sauce having apple,H having M
applesauce,apple,sauce,sauce that has apple,H that has M
applesauce,apple,sauce,apple has sauce,M has H
applesauce,apple,sauce,apple having sauce,M having H
applesauce,apple,sauce,apple that has sauce,M that has H
applesauce,apple,sauce,sauce is apple,H is M
applesauce,apple,sauce,sauce being apple,H being M
applesauce,apple,sauce,sauce that is apple,H that is M
applesauce,apple,sauce,sauce location is apple,H location is M
applesauce,apple,sauce,sauce whose location is apple,H whose location is M
applesauce,apple,sauce,sauce located on apple,H located on M
applesauce,apple,sauce,apple location is sauce,M location is H
applesauce,apple,sauce,apple whose location is sauce,M whose location is H
applesauce,apple,sauce,apple located on sauce,M located on H
applesauce,apple,sauce,sauce made of apple,H made of M
applesauce,apple,sauce,sauce makes apple,H makes M
applesauce,apple,sauce,sauce making apple,H making M
applesauce,apple,sauce,sauce that makes apple,H that makes M
applesauce,apple,sauce,sauce used by apple,H used by M
applesauce,apple,sauce,sauce uses apple,H uses M
applesauce,apple,sauce,sauce using apple,H using M
applesauce,apple,sauce,sauce that uses apple,H that uses M
applesauce,apple,sauce,sauce located in apple,H located in M
applesauce,apple,sauce,sauce located at apple,H located at M
applesauce,apple,sauce,apple located in sauce,M located in H
applesauce,apple,sauce,apple located at sauce,M located at H
armchair,arm,chair,armchair,same
armchair,arm,chair,chair about arm,H about M
armchair,arm,chair,chair by arm,H by M
armchair,arm,chair,chair caused by arm,H caused by M
armchair,arm,chair,chair causes arm,H causes M
armchair,arm,chair,chair causing arm,H causing M
armchair,arm,chair,chair that causes arm,H that causes M
armchair,arm,chair,chair during arm,H during M
armchair,arm,chair,chair for arm,H for M
armchair,arm,chair,chair from arm,H from M
armchair,arm,chair,chair has arm,H has M
armchair,arm,chair,chair having arm,H having M
armchair,arm,chair,chair that has arm,H that has M
armchair,arm,chair,arm has chair,M has H
armchair,arm,chair,arm having chair,M having H
armchair,arm,chair,arm that has chair,M that has H
armchair,arm,chair,chair is arm,H is M
armchair,arm,chair,chair being arm,H being M
armchair,arm,chair,chair that is arm,H that is M
armchair,arm,chair,chair location is arm,H location is M
armchair,arm,chair,chair whose location is arm,H whose location is M
armchair,arm,chair,chair located on arm,H located on M
armchair,arm,chair,arm location is chair,M location is H
armchair,arm,chair,arm whose location is chair,M whose location is H
armchair,arm,chair,arm located on chair,M located on H
armchair,arm,chair,chair made of arm,H made of M
armchair,arm,chair,chair makes arm,H makes M
armchair,arm,chair,chair making arm,H making M
armchair,arm,chair,chair that makes arm,H that makes M
armchair,arm,chair,chair used by arm,H used by M
armchair,arm,chair,chair uses arm,H uses M
armchair,arm,chair,chair using arm,H using M
armchair,arm,chair,chair that uses arm,H that uses M
armchair,arm,chair,chair located in arm,H located in M
armchair,arm,chair,chair located at arm,H located at M
armchair,arm,chair,arm located in chair,M located in H
armchair,arm,chair,arm located at chair,M located at H
ashtray,ash,tray,ashtray,same
ashtray,ash,tray,tray about ash,H about M
ashtray,ash,tray,tray by ash,H by M
ashtray,ash,tray,tray caused by ash,H caused by M
ashtray,ash,tray,tray causes ash,H causes M
ashtray,ash,tray,tray causing ash,H causing M
ashtray,ash,tray,tray that causes ash,H that causes M
ashtray,ash,tray,tray during ash,H during M
ashtray,ash,tray,tray for ash,H for M
ashtray,ash,tray,tray from ash,H from M
ashtray,ash,tray,tray has ash,H has M
ashtray,ash,tray,tray having ash,H having M
ashtray,ash,tray,tray that has ash,H that has M
ashtray,ash,tray,ash has tray,M has H
ashtray,ash,tray,ash having tray,M having H
ashtray,ash,tray,ash that has tray,M that has H
ashtray,ash,tray,tray is ash,H is M
ashtray,ash,tray,tray being ash,H being M
ashtray,ash,tray,tray that is ash,H that is M
ashtray,ash,tray,tray location is ash,H location is M
ashtray,ash,tray,tray whose location is ash,H whose location is M
ashtray,ash,tray,tray located on ash,H located on M
ashtray,ash,tray,ash location is tray,M location is H
ashtray,ash,tray,ash whose location is tray,M whose location is H
ashtray,ash,tray,ash located on tray,M located on H
ashtray,ash,tray,tray made of ash,H made of M
ashtray,ash,tray,tray makes ash,H makes M
ashtray,ash,tray,tray making ash,H making M
ashtray,ash,tray,tray that makes ash,H that makes M
ashtray,ash,tray,tray used by ash,H used by M
ashtray,ash,tray,tray uses ash,H uses M
ashtray,ash,tray,tray using ash,H using M
ashtray,ash,tray,tray that uses ash,H that uses M
ashtray,ash,tray,tray located in ash,H located in M
ashtray,ash,tray,tray located at ash,H located at M
ashtray,ash,tray,ash located in tray,M located in H
ashtray,ash,tray,ash located at tray,M located at H
backache,back,ache,backache,same
backache,back,ache,ache about back,H about M
backache,back,ache,ache by back,H by M
backache,back,ache,ache caused by back,H caused by M
backache,back,ache,ache causes back,H causes M
backache,back,ache,ache causing back,H causing M
backache,back,ache,ache that causes back,H that causes M
backache,back,ache,ache during back,H during M
backache,back,ache,ache for back,H for M
backache,back,ache,ache from back,H from M
backache,back,ache,ache has back,H has M
backache,back,ache,ache having back,H having M
backache,back,ache,ache that has back,H that has M
backache,back,ache,back has ache,M has H
backache,back,ache,back having ache,M having H
backache,back,ache,back that has ache,M that has H
backache,back,ache,ache is back,H is M
backache,back,ache,ache being back,H being M
backache,back,ache,ache that is back,H that is M
backache,back,ache,ache location is back,H location is M
backache,back,ache,ache whose location is back,H whose location is M
backache,back,ache,ache located on back,H located on M
backache,back,ache,back location is ache,M location is H
backache,back,ache,back whose location is ache,M whose location is H
backache,back,ache,back located on ache,M located on H
backache,back,ache,ache made of back,H made of M
backache,back,ache,ache makes back,H makes M
backache,back,ache,ache making back,H making M
backache,back,ache,ache that makes back,H that makes M
backache,back,ache,ache used by back,H used by M
backache,back,ache,ache uses back,H uses M
backache,back,ache,ache using back,H using M
backache,back,ache,ache that uses back,H that uses M
backache,back,ache,ache located in back,H located in M
backache,back,ache,ache located at back,H located at M
backache,back,ache,back located in ache,M located in H
backache,back,ache,back located at ache,M located at H
bagpipe,bag,pipe,bagpipe,same
bagpipe,bag,pipe,pipe about bag,H about M
bagpipe,bag,pipe,pipe by bag,H by M
bagpipe,bag,pipe,pipe caused by bag,H caused by M
bagpipe,bag,pipe,pipe causes bag,H causes M
bagpipe,bag,pipe,pipe causing bag,H causing M
bagpipe,bag,pipe,pipe that causes bag,H that causes M
bagpipe,bag,pipe,pipe during bag,H during M
bagpipe,bag,pipe,pipe for bag,H for M
bagpipe,bag,pipe,pipe from bag,H from M
bagpipe,bag,pipe,pipe has bag,H has M
bagpipe,bag,pipe,pipe having bag,H having M
bagpipe,bag,pipe,pipe that has bag,H that has M
bagpipe,bag,pipe,bag has pipe,M has H
bagpipe,bag,pipe,bag having pipe,M having H
bagpipe,bag,pipe,bag that has pipe,M that has H
bagpipe,bag,pipe,pipe is bag,H is M
bagpipe,bag,pipe,pipe being bag,H being M
bagpipe,bag,pipe,pipe that is bag,H that is M
bagpipe,bag,pipe,pipe location is bag,H location is M
bagpipe,bag,pipe,pipe whose location is bag,H whose location is M
bagpipe,bag,pipe,pipe located on bag,H located on M
bagpipe,bag,pipe,bag location is pipe,M location is H
bagpipe,bag,pipe,bag whose location is pipe,M whose location is H
bagpipe,bag,pipe,bag located on pipe,M located on H
bagpipe,bag,pipe,pipe made of bag,H made of M
bagpipe,bag,pipe,pipe makes bag,H makes M
bagpipe,bag,pipe,pipe making bag,H making M
bagpipe,bag,pipe,pipe that makes bag,H that makes M
bagpipe,bag,pipe,pipe used by bag,H used by M
bagpipe,bag,pipe,pipe uses bag,H uses M
bagpipe,bag,pipe,pipe using bag,H using M
bagpipe,bag,pipe,pipe that uses bag,H that uses M
bagpipe,bag,pipe,pipe located in bag,H located in M
bagpipe,bag,pipe,pipe located at bag,H located at M
bagpipe,bag,pipe,bag located in pipe,M located in H
bagpipe,bag,pipe,bag located at pipe,M located at H
ballgame,ball,game,ballgame,same
ballgame,ball,game,game about ball,H about M
ballgame,ball,game,game by ball,H by M
ballgame,ball,game,game caused by ball,H caused by M
ballgame,ball,game,game causes ball,H causes M
ballgame,ball,game,game causing ball,H causing M
ballgame,ball,game,game that causes ball,H that causes M
ballgame,ball,game,game during ball,H during M
ballgame,ball,game,game for ball,H for M
ballgame,ball,game,game from ball,H from M
ballgame,ball,game,game has ball,H has M
ballgame,ball,game,game having ball,H having M
ballgame,ball,game,game that has ball,H that has M
ballgame,ball,game,ball has game,M has H
ballgame,ball,game,ball having game,M having H
ballgame,ball,game,ball that has game,M that has H
ballgame,ball,game,game is ball,H is M
